source.level,source.message,dataset,timestamp,$workers.event.request.cf.isEUCountry,$workers.event.request.cf.httpProtocol,$workers.event.request.cf.clientAcceptEncoding,$workers.event.request.cf.requestPriority,$workers.event.request.cf.colo,$workers.event.request.cf.asOrganization,$workers.event.request.cf.country,$workers.event.request.cf.city,$workers.event.request.cf.continent,$workers.event.request.cf.region,$workers.event.request.cf.regionCode,$workers.event.request.cf.timezone,$workers.event.request.cf.longitude,$workers.event.request.cf.latitude,$workers.event.request.cf.postalCode,$workers.event.request.cf.tlsVersion,$workers.event.request.cf.tlsCipher,$workers.event.request.cf.tlsClientRandom,$workers.event.request.cf.tlsClientCiphersSha1,$workers.event.request.cf.tlsClientExtensionsSha1,$workers.event.request.cf.tlsClientExtensionsSha1Le,$workers.event.request.cf.tlsClientHelloLength,$workers.event.request.cf.tlsClientAuth.certPresented,$workers.event.request.cf.tlsClientAuth.certVerified,$workers.event.request.cf.tlsClientAuth.certRevoked,$workers.event.request.cf.tlsClientAuth.certIssuerDN,$workers.event.request.cf.tlsClientAuth.certSubjectDN,$workers.event.request.cf.tlsClientAuth.certIssuerDNRFC2253,$workers.event.request.cf.tlsClientAuth.certSubjectDNRFC2253,$workers.event.request.cf.tlsClientAuth.certIssuerDNLegacy,$workers.event.request.cf.tlsClientAuth.certSubjectDNLegacy,$workers.event.request.cf.tlsClientAuth.certSerial,$workers.event.request.cf.tlsClientAuth.certIssuerSerial,$workers.event.request.cf.tlsClientAuth.certSKI,$workers.event.request.cf.tlsClientAuth.certIssuerSKI,$workers.event.request.cf.tlsClientAuth.certFingerprintSHA1,$workers.event.request.cf.tlsClientAuth.certFingerprintSHA256,$workers.event.request.cf.tlsClientAuth.certNotBefore,$workers.event.request.cf.tlsClientAuth.certNotAfter,$workers.event.request.cf.verifiedBotCategory,$workers.event.request.cf.edgeRequestKeepAliveStatus,$workers.event.request.cf.clientTcpRtt,$workers.event.request.cf.asn,$workers.event.request.url,$workers.event.request.method,$workers.event.request.headers.accept,$workers.event.request.headers.accept-encoding,$workers.event.request.headers.accept-language,$workers.event.request.headers.cf-connecting-ip,$workers.event.request.headers.cf-ipcountry,$workers.event.request.headers.cf-ray,$workers.event.request.headers.cf-visitor,$workers.event.request.headers.connection,$workers.event.request.headers.cookie,$workers.event.request.headers.host,$workers.event.request.headers.priority,$workers.event.request.headers.referer,$workers.event.request.headers.sec-ch-ua,$workers.event.request.headers.sec-ch-ua-mobile,$workers.event.request.headers.sec-ch-ua-platform,$workers.event.request.headers.sec-fetch-dest,$workers.event.request.headers.sec-fetch-mode,$workers.event.request.headers.sec-fetch-site,$workers.event.request.headers.user-agent,$workers.event.request.headers.x-forwarded-proto,$workers.event.request.headers.x-real-ip,$workers.event.request.path,$workers.event.rayId,$workers.event.response.status,$workers.diagnosticsChannelEvents,$workers.truncated,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.executionModel,$workers.scriptVersion.id,$workers.requestId,$workers.cpuTimeMs,$workers.wallTimeMs,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
info,GET https://uttervoice.com/api/auth/session,cloudflare-workers,2026-03-23T14:41:36.894Z,false,HTTP/3,"gzip, deflate, br",,HKG,Globe Telecoms,PH,General Trias,AS,Calabarzon,40,Asia/Manila,120.88167,14.38694,4108,TLSv1.3,AEAD-AES128-GCM-SHA256,gdKO/t7dc7u36yU7eEyyhiOE3WOeEDBN8+haI4F8UyY=,3HTt3+R/6BL3zeALJDSq0pR1yOQ=,ed98zyHEzaTrapHz8jcoNPj3v4I=,VBr1pk5Cmbm/iqA65+a02jEWayM=,1504,0,NONE,0,,,,,,,,,,,,,,,,1,0,132199,https://uttervoice.com/api/auth/session,GET,*/*,"gzip, br","en-US,en;q=0.9",64.224.103.227,PH,9e0e32ad8d1e5161,"{""scheme"":""https""}",Keep-Alive,REDACTED,uttervoice.com,"u=1, i",https://uttervoice.com/,"""Chromium"";v=""146"", ""Not-A.Brand"";v=""24"", ""Google Chrome"";v=""146""",?0,"""Windows""",empty,cors,same-origin,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",https,64.224.103.227,/api/auth/session,9e0e32ad8d1e5161,200,[],false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0e32ad8d1e5161,1,1762,01KMDJ9T3YJGXTBH8MKT35FCZJ,9e0e32ad8d1e5161,GET /api/auth/session,utter,info,GET https://uttervoice.com/api/auth/session,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,GET https://uttervoice.com/api/auth/session,undefined,undefined,undefined,[]
info,GET https://uttervoice.com/robots.txt,cloudflare-workers,2026-03-23T11:26:07.489Z,1,HTTP/1.1,"gzip, br",,CDG,OVH SAS,FR,Gravelines,EU,Hauts-de-France,HDF,Europe/Paris,2.12807,50.98651,59820,TLSv1.3,AEAD-AES256-GCM-SHA384,g6sIRD1kpO6LKoG7R0G7IvuxbjCwKrP4u5iNBePETrg=,6R1RJRIub6EbCJH8lSVa2s5xElU=,PFqqSbVkBVVb6CpjGt6JB0NSzkI=,Xkmu9DjdF4YpqVrcloIc3xRs0wY=,328,0,NONE,0,,,,,,,,,,,,,,,Search Engine Optimization,1,5,16276,https://uttervoice.com/robots.txt,GET,*/*,"gzip, br",,51.68.107.138,FR,9e0d1450bedb46a0,"{""scheme"":""https""}",Keep-Alive,,uttervoice.com,,,,,,,,,Mozilla/5.0 (compatible; MJ12bot/v2.0.5; http://mj12bot.com/),https,51.68.107.138,/robots.txt,9e0d1450bedb46a0,200,[],false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0d1450bedb46a0,0,24,01KMD73VM1AMYYNCJCR8YSNRGN,9e0d1450bedb46a0,GET /robots.txt,utter,info,GET https://uttervoice.com/robots.txt,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,GET https://uttervoice.com/robots.txt,undefined,undefined,undefined,[]
info,GET https://uttervoice.com/robots.txt,cloudflare-workers,2026-03-23T11:08:30.120Z,false,HTTP/2,,weight=16;exclusive=0;group=0;group-weight=0,DFW,Meta Platforms Ireland Limited,US,Altoona,NA,Iowa,IA,America/Chicago,-93.46466,41.64416,50009,TLSv1.3,AEAD-AES256-GCM-SHA384,+C3P8VHqYVR08PwsNF0GyVfX2AbTrfy3E1jouZ7bjtM=,GXSPDLP4G3X+prK73a4wBuOaHRc=,Y7DIC8A6G0/aXviZ8ie/xDbJb7g=,6e+q3vPm88rSgMTN/h7WTTxQ2wQ=,321,0,NONE,0,,,,,,,,,,,,,,,Page Preview,1,16,32934,https://uttervoice.com/robots.txt,GET,*/*,"gzip, br",,2a03:2880:10ff:47::,US,9e0cfa803ace25bf,"{""scheme"":""https""}",Keep-Alive,,uttervoice.com,,,,,,,,,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),https,2a03:2880:10ff:47::,/robots.txt,9e0cfa803ace25bf,200,[],false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0cfa803ace25bf,0,11,01KMD63K18H273BKEV46X3KF0G,9e0cfa803ace25bf,GET /robots.txt,utter,info,GET https://uttervoice.com/robots.txt,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,GET https://uttervoice.com/robots.txt,undefined,undefined,undefined,[]
,Can't read from request stream after response has been sent.,cloudflare-workers,2026-03-23T10:49:57.473Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://uttervoice.com/api,POST,,,,,,,,,,,,,,,,,,,,,,/api,,,,false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0cdf55c988cdd2,,,01KMD51MF1A7EBDGAGERG594DW,9e0cdf55c988cdd2,POST /api,utter,error,Can't read from request stream after response has been sent.,b0ac7ee72778098d52f9dead0aed6e31,cf-worker,e60e7dd7b451e5fc645efef1ab87359b,fetch,Can't read from request stream after response has been sent.,undefined,undefined,undefined,[]
info,POST https://uttervoice.com/api,cloudflare-workers,2026-03-23T10:49:57.409Z,false,HTTP/1.1,gzip,,SIN,158 Cloud Computing,HK,Tung Chung,AS,Islands,,Asia/Hong_Kong,113.94243,22.28783,999077,TLSv1.3,AEAD-AES128-GCM-SHA256,XnvPFtN992ksn9YA/dTEKk3c4DGRKP7hEME8mf2MPOs=,QrF6UadKW3vtNOqdNqbd4frxxxE=,VmypJ9I6O+wlbe1dI9qycuZ4Ywg=,i+zMiC3iuMzkwC9CUcQV4FcnRkg=,1493,0,NONE,0,,,,,,,,,,,,,,,,1,40,134365,https://uttervoice.com/api,POST,,"gzip, br",,45.197.149.104,HK,9e0cdf55c988cdd2,"{""scheme"":""https""}",Keep-Alive,,uttervoice.com,,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",https,45.197.149.104,/api,9e0cdf55c988cdd2,404,[],false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0cdf55c988cdd2,1,65,01KMD51MD1FVXGHG9A783SAZHE,9e0cdf55c988cdd2,POST /api,utter,info,POST https://uttervoice.com/api,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,POST https://uttervoice.com/api,undefined,undefined,undefined,[]
,"This ReadableStream is disturbed (has already been read from), and cannot be used as a body.",cloudflare-workers,2026-03-23T10:49:57.361Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://uttervoice.com/admin,POST,,,,,,,,,,,,,,,,,,,,,,/admin,,,,false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0cdf556862cdd2,,,01KMD51MBHFX2926K2BKX2NWKQ,9e0cdf556862cdd2,POST /admin,utter,error,"This ReadableStream is disturbed (has already been read from), and cannot be used as a body.",b0ac7ee72778098d52f9dead0aed6e31,cf-worker,5e054bdf37da4f12144d0dfff7f3cea9,fetch,"This ReadableStream is disturbed (has already been read from), and cannot be used as a body.",undefined,undefined,undefined,[]
error,POST https://uttervoice.com/admin,cloudflare-workers,2026-03-23T10:49:57.345Z,false,HTTP/1.1,gzip,,SIN,158 Cloud Computing,HK,Tung Chung,AS,Islands,,Asia/Hong_Kong,113.94243,22.28783,999077,TLSv1.3,AEAD-AES128-GCM-SHA256,XnvPFtN992ksn9YA/dTEKk3c4DGRKP7hEME8mf2MPOs=,QrF6UadKW3vtNOqdNqbd4frxxxE=,VmypJ9I6O+wlbe1dI9qycuZ4Ywg=,i+zMiC3iuMzkwC9CUcQV4FcnRkg=,1493,0,NONE,0,,,,,,,,,,,,,,,,1,40,134365,https://uttervoice.com/admin,POST,,"gzip, br",,45.197.149.104,HK,9e0cdf556862cdd2,"{""scheme"":""https""}",Keep-Alive,,uttervoice.com,,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",https,45.197.149.104,/admin,9e0cdf556862cdd2,500,[],false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0cdf556862cdd2,0,4,01KMD51MB1AR042PGNFN5ZAD3A,9e0cdf556862cdd2,POST /admin,utter,error,POST https://uttervoice.com/admin,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,a00c1b9b585ebb1d7f674931b7c369e9,fetch,POST https://uttervoice.com/admin,undefined,undefined,undefined,[]
info,GET https://uttervoice.com/robots.txt,cloudflare-workers,2026-03-23T10:47:01.931Z,false,HTTP/2,"gzip, deflate, br",weight=16;exclusive=0;group=0;group-weight=0,ATL,Microsoft Limited,US,Atlanta,NA,Georgia,GA,America/New_York,-84.38798,33.749,30302,TLSv1.3,AEAD-AES256-GCM-SHA384,EtONBSZAIUXvqE2Rh6xuHTKroxrOgJ3T4f8T61C9J2U=,WUS9+h7TjVkF9aEouGuCEMjGQGA=,8XxKvXLR1wiC5UqLYvIARqNQDDI=,GLNjqvBrypm7KqI95C+mWk3bAjc=,250,0,NONE,0,,,,,,,,,,,,,,,AI Search,1,1,8075,https://uttervoice.com/robots.txt,GET,*/*,"gzip, br",,74.7.175.174,US,9e0cdb0ceb9ab6c2,"{""scheme"":""https""}",Keep-Alive,,uttervoice.com,,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.3; robots.txt; +https://openai.com/searchbot",https,74.7.175.174,/robots.txt,9e0cdb0ceb9ab6c2,200,[],false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0cdb0ceb9ab6c2,0,76,01KMD4W91B39BRDMX9YC3ARQCJ,9e0cdb0ceb9ab6c2,GET /robots.txt,utter,info,GET https://uttervoice.com/robots.txt,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,GET https://uttervoice.com/robots.txt,undefined,undefined,undefined,[]
,Can't read from request stream after response has been sent.,cloudflare-workers,2026-03-23T10:44:29.766Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://uttervoice.com/api,POST,,,,,,,,,,,,,,,,,,,,,,/api,,,,false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0cd7558c6fdd59,,,01KMD4QME6W5XV645D1R5HD6J9,9e0cd7558c6fdd59,POST /api,utter,error,Can't read from request stream after response has been sent.,b0ac7ee72778098d52f9dead0aed6e31,cf-worker,e60e7dd7b451e5fc645efef1ab87359b,fetch,Can't read from request stream after response has been sent.,undefined,undefined,undefined,[]
info,POST https://uttervoice.com/api,cloudflare-workers,2026-03-23T10:44:29.686Z,false,HTTP/1.1,gzip,,HKG,MEGA-II IDC,HK,Hong Kong,AS,,,Asia/Hong_Kong,114.17469,22.27832,999077,TLSv1.3,AEAD-AES128-GCM-SHA256,SvyHnF56xHezBZ8MnacNjFm6QngG9KkxHza603PTHo4=,QrF6UadKW3vtNOqdNqbd4frxxxE=,VmypJ9I6O+wlbe1dI9qycuZ4Ywg=,i+zMiC3iuMzkwC9CUcQV4FcnRkg=,1493,0,NONE,0,,,,,,,,,,,,,,,,1,1,152194,https://uttervoice.com/api,POST,,"gzip, br",,121.127.245.210,HK,9e0cd7558c6fdd59,"{""scheme"":""https""}",Keep-Alive,,uttervoice.com,,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",https,121.127.245.210,/api,9e0cd7558c6fdd59,404,[],false,utter,ok,fetch,stateless,accf5dac-73a8-4d68-b7f9-1e1699d44509,9e0cd7558c6fdd59,1,81,01KMD4QMBP3Y01Y9Y0BTASWEPA,9e0cd7558c6fdd59,POST /api,utter,info,POST https://uttervoice.com/api,b0ac7ee72778098d52f9dead0aed6e31,cf-worker-event,b446942f8cae2dbaf7bce2f95050dfec,fetch,POST https://uttervoice.com/api,undefined,undefined,undefined,[]
